,InstanceType,MaximumNetworkInterfaces
311,Standard_DS2,2
312,Standard_DS2_v2,2
313,Standard_DS2_v2_Promo,2
314,Standard_DS3,4
315,Standard_DS3_v2,4
316,Standard_DS3_v2_Promo,4
317,Standard_DS4,8
318,Standard_DS4_v2,8
319,Standard_DS4_v2_Promo,8
320,Standard_DS5_v2,8
321,Standard_DS5_v2_Promo,8
322,Standard_E104ids_v5,8
323,Standard_E104id_v5,8
324,Standard_E104is_v5,8
325,Standard_E104i_v5,8
326,Standard_E112iads_v5,8
327,Standard_E112ias_v5,8
328,Standard_E112ibds_v5,8
329,Standard_E112ibs_v5,8
330,Standard_E16-4ads_v5,8
331,Standard_E16-4as_v4,8
332,Standard_E16-4as_v5,8
333,Standard_E16-4ds_v4,8
334,Standard_E16-4ds_v5,8
335,Standard_E16-4s_v3,8
336,Standard_E16-4s_v4,8
337,Standard_E16-4s_v5,8
338,Standard_E16-8ads_v5,8
339,Standard_E16-8as_v4,8
340,Standard_E16-8as_v5,8
341,Standard_E16-8ds_v4,8
342,Standard_E16-8ds_v5,8
343,Standard_E16-8s_v3,8
344,Standard_E16-8s_v4,8
345,Standard_E16-8s_v5,8
346,Standard_E16ads_v5,8
347,Standard_E16as_v4,8
348,Standard_E16as_v5,8
349,Standard_E16a_v4,8
350,Standard_E16bds_v5,8
351,Standard_E16bs_v5,8
352,Standard_E16ds_v4,8
353,Standard_E16ds_v5,8
354,Standard_E16d_v4,8
355,Standard_E16d_v5,8
356,Standard_E16pds_v5,4
357,Standard_E16ps_v5,4
358,Standard_E16s_v3,8
359,Standard_E16s_v4,8
360,Standard_E16s_v5,8
361,Standard_E16_v3,8
362,Standard_E16_v4,8
363,Standard_E16_v5,8
364,Standard_E20ads_v5,8
365,Standard_E20as_v4,8
366,Standard_E20as_v5,8
367,Standard_E20a_v4,8
368,Standard_E20ds_v4,8
369,Standard_E20ds_v5,8
370,Standard_E20d_v4,8
371,Standard_E20d_v5,8
372,Standard_E20pds_v5,8
373,Standard_E20ps_v5,8
374,Standard_E20s_v3,8
375,Standard_E20s_v4,8
376,Standard_E20s_v5,8
377,Standard_E20_v3,8
378,Standard_E20_v4,8
379,Standard_E20_v5,8
380,Standard_E2ads_v5,2
381,Standard_E2as_v4,2
382,Standard_E2as_v5,2
383,Standard_E2a_v4,2
384,Standard_E2bds_v5,2
385,Standard_E2bs_v5,2
386,Standard_E2ds_v4,2
387,Standard_E2ds_v5,2
388,Standard_E2d_v4,2
389,Standard_E2d_v5,2
390,Standard_E2pds_v5,2
391,Standard_E2ps_v5,2
392,Standard_E2s_v3,2
393,Standard_E2s_v4,2
394,Standard_E2s_v5,2
395,Standard_E2_v3,2
396,Standard_E2_v4,2
397,Standard_E2_v5,2
398,Standard_E32-16ads_v5,8
399,Standard_E32-16as_v4,8
400,Standard_E32-16as_v5,8
401,Standard_E32-16ds_v4,8
402,Standard_E32-16ds_v5,8
403,Standard_E32-16s_v3,8
404,Standard_E32-16s_v4,8
405,Standard_E32-16s_v5,8
406,Standard_E32-8ads_v5,8
407,Standard_E32-8as_v4,8
408,Standard_E32-8as_v5,8
409,Standard_E32-8ds_v4,8
410,Standard_E32-8ds_v5,8
411,Standard_E32-8s_v3,8
412,Standard_E32-8s_v4,8
413,Standard_E32-8s_v5,8
414,Standard_E32ads_v5,8
415,Standard_E32as_v4,8
416,Standard_E32as_v5,8
417,Standard_E32a_v4,8
418,Standard_E32bds_v5,8
419,Standard_E32bs_v5,8
420,Standard_E32ds_v4,8
421,Standard_E32ds_v5,8
422,Standard_E32d_v4,8
423,Standard_E32d_v5,8
424,Standard_E32pds_v5,8
425,Standard_E32ps_v5,8
426,Standard_E32s_v3,8
427,Standard_E32s_v4,8
428,Standard_E32s_v5,8
429,Standard_E32_v3,8
430,Standard_E32_v4,8
431,Standard_E32_v5,8
432,Standard_E4-2ads_v5,2
433,Standard_E4-2as_v4,2
434,Standard_E4-2as_v5,2
435,Standard_E4-2ds_v4,2
436,Standard_E4-2ds_v5,2
437,Standard_E4-2s_v3,2
438,Standard_E4-2s_v4,2
439,Standard_E4-2s_v5,2
440,Standard_E48ads_v5,8
441,Standard_E48as_v4,8
442,Standard_E48as_v5,8
443,Standard_E48a_v4,8
444,Standard_E48bds_v5,8
445,Standard_E48bs_v5,8
446,Standard_E48ds_v4,8
447,Standard_E48ds_v5,8
448,Standard_E48d_v4,8
449,Standard_E48d_v5,8
450,Standard_E48s_v3,8
451,Standard_E48s_v4,8
452,Standard_E48s_v5,8
453,Standard_E48_v3,8
454,Standard_E48_v4,8
455,Standard_E48_v5,8
456,Standard_E4ads_v5,2
457,Standard_E4as_v4,2
458,Standard_E4as_v5,2
459,Standard_E4a_v4,2
460,Standard_E4bds_v5,2
461,Standard_E4bs_v5,2
462,Standard_E4ds_v4,2
463,Standard_E4ds_v5,2
464,Standard_E4d_v4,2
465,Standard_E4d_v5,2
466,Standard_E4pds_v5,2
467,Standard_E4ps_v5,2
468,Standard_E4s_v3,2
469,Standard_E4s_v4,2
470,Standard_E4s_v5,2
471,Standard_E4_v3,2
472,Standard_E4_v4,2
473,Standard_E4_v5,2
474,Standard_E64-16ads_v5,8
475,Standard_E64-16as_v4,8
476,Standard_E64-16as_v5,8
477,Standard_E64-16ds_v4,8
478,Standard_E64-16ds_v5,8
479,Standard_E64-16s_v3,8
480,Standard_E64-16s_v4,8
481,Standard_E64-16s_v5,8
482,Standard_E64-32ads_v5,8
483,Standard_E64-32as_v4,8
484,Standard_E64-32as_v5,8
485,Standard_E64-32ds_v4,8
486,Standard_E64-32ds_v5,8
487,Standard_E64-32s_v3,8
488,Standard_E64-32s_v4,8
489,Standard_E64-32s_v5,8
490,Standard_E64ads_v5,8
491,Standard_E64as_v4,8
492,Standard_E64as_v5,8
493,Standard_E64a_v4,8
494,Standard_E64bds_v5,8
495,Standard_E64bs_v5,8
496,Standard_E64ds_v4,8
497,Standard_E64ds_v5,8
498,Standard_E64d_v4,8
499,Standard_E64d_v5,8
500,Standard_E64is_v3,8
501,Standard_E64i_v3,8
502,Standard_E64s_v3,8
503,Standard_E64s_v4,8
504,Standard_E64s_v5,8
505,Standard_E64_v3,8
506,Standard_E64_v4,8
507,Standard_E64_v5,8
508,Standard_E8-2ads_v5,4
509,Standard_E8-2as_v4,4
510,Standard_E8-2as_v5,4
511,Standard_E8-2ds_v4,4
512,Standard_E8-2ds_v5,4
513,Standard_E8-2s_v3,4
514,Standard_E8-2s_v4,2
515,Standard_E8-2s_v5,4
516,Standard_E8-4ads_v5,4
517,Standard_E8-4as_v4,4
518,Standard_E8-4as_v5,4
519,Standard_E8-4ds_v4,4
520,Standard_E8-4ds_v5,4
521,Standard_E8-4s_v3,4
522,Standard_E8-4s_v4,4
523,Standard_E8-4s_v5,4
524,Standard_E80ids_v4,8
525,Standard_E80is_v4,8
526,Standard_E8ads_v5,4
527,Standard_E8as_v4,4
528,Standard_E8as_v5,4
529,Standard_E8a_v4,4
530,Standard_E8bds_v5,4
531,Standard_E8bs_v5,4
532,Standard_E8ds_v4,4
533,Standard_E8ds_v5,4
534,Standard_E8d_v4,4
535,Standard_E8d_v5,4
536,Standard_E8pds_v5,4
537,Standard_E8ps_v5,4
538,Standard_E8s_v3,4
539,Standard_E8s_v4,4
540,Standard_E8s_v5,4
541,Standard_E8_v3,4
542,Standard_E8_v4,4
543,Standard_E8_v5,4
544,Standard_E96-24ads_v5,8
545,Standard_E96-24as_v4,8
546,Standard_E96-24as_v5,8
547,Standard_E96-24ds_v5,8
548,Standard_E96-24s_v5,8
549,Standard_E96-48ads_v5,8
550,Standard_E96-48as_v4,8
551,Standard_E96-48as_v5,8
552,Standard_E96-48ds_v5,8
553,Standard_E96-48s_v5,8
554,Standard_E96ads_v5,8
555,Standard_E96as_v4,8
556,Standard_E96as_v5,8
557,Standard_E96a_v4,8
558,Standard_E96bds_v5,8
559,Standard_E96bs_v5,8
560,Standard_E96ds_v5,8
561,Standard_E96d_v5,8
562,Standard_E96ias_v4,8
563,Standard_E96s_v5,8
564,Standard_E96_v5,8
565,Standard_EC16ads_v5,4
566,Standard_EC16as_cc_v5,8
567,Standard_EC16as_v5,4
568,Standard_EC20ads_v5,8
569,Standard_EC20as_cc_v5,8
570,Standard_EC20as_v5,8
571,Standard_EC2ads_v5,2
572,Standard_EC2as_v5,2
573,Standard_EC32ads_v5,8
574,Standard_EC32as_cc_v5,8
