,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
111,us-east-1f,g4dn.xlarge,3,0.2212,0.07706666666666667,2024-01-26 17:17:12+00:00
112,us-east-1a,m7g.4xlarge,8,0.3262,0.045149999999999996,2024-01-26 17:17:12+00:00
113,us-east-1c,c5a.xlarge,4,0.087,0.0255,2024-01-26 17:17:12+00:00
114,us-east-1d,r5.16xlarge,15,1.6757,0.11638,2024-01-26 17:17:11+00:00
115,us-east-1d,t3.xlarge,4,0.0754,0.0226,2024-01-26 17:17:11+00:00
116,us-east-1f,c6i.large,3,0.0424,0.01746666666666667,2024-01-26 17:17:11+00:00
117,us-east-1d,r5b.4xlarge,8,1.1244,0.144925,2024-01-26 17:17:11+00:00
118,us-east-1d,m6i.4xlarge,8,0.3256,0.045075000000000004,2024-01-26 17:17:10+00:00
119,us-east-1c,i3en.12xlarge,8,2.1767,0.2764625,2024-01-26 17:17:10+00:00
120,us-east-1f,m5d.16xlarge,15,1.4736,0.10290666666666667,2024-01-26 17:17:08+00:00
121,us-east-1e,i3.16xlarge,15,1.9524,0.13482666666666665,2024-01-26 17:17:05+00:00
122,us-east-1c,c7i.48xlarge,15,3.7081,0.25187333333333334,2024-01-26 17:03:12+00:00
123,us-east-1d,c7gd.12xlarge,8,0.8993,0.1167875,2024-01-26 17:03:12+00:00
124,us-east-1a,r6id.metal,15,4.6899,0.31732666666666665,2024-01-26 17:03:11+00:00
125,us-east-1f,r5d.24xlarge,15,2.7093,0.18528666666666666,2024-01-26 17:03:07+00:00
126,us-east-1f,x2gd.metal,15,1.9248,0.13298666666666667,2024-01-26 17:03:06+00:00
127,us-east-1c,x2gd.metal,15,3.1345,0.21363333333333331,2024-01-26 17:03:06+00:00
128,us-east-1c,t3a.nano,2,0.0023,0.00365,2024-01-26 17:03:06+00:00
129,us-east-1d,m7a.24xlarge,15,2.6301,0.18000666666666668,2024-01-26 17:03:05+00:00
130,us-east-1a,c5a.24xlarge,15,1.7448,0.12098666666666666,2024-01-26 17:03:04+00:00
131,us-east-1a,m5zn.12xlarge,15,1.7963,0.12442,2024-01-26 17:03:04+00:00
132,us-east-1f,x2gd.2xlarge,4,0.3344,0.08735,2024-01-26 17:03:03+00:00
133,us-east-1b,r7a.16xlarge,15,2.4368,0.16712,2024-01-26 17:03:03+00:00
134,us-east-1d,x1e.4xlarge,4,1.239,0.3135,2024-01-26 17:03:03+00:00
135,us-east-1a,r6idn.xlarge,4,0.2097,0.056175,2024-01-26 17:03:03+00:00
136,us-east-1a,m5a.12xlarge,8,1.0506,0.1357,2024-01-26 17:03:02+00:00
137,us-east-1d,r6in.metal,14,4.1684,0.3023857142857143,2024-01-26 17:03:01+00:00
138,us-east-1a,c5ad.16xlarge,15,1.0958,0.07772000000000001,2024-01-26 17:03:01+00:00
139,us-east-1c,m5a.24xlarge,15,1.7536,0.12157333333333334,2024-01-26 17:03:00+00:00
140,us-east-1b,c7a.2xlarge,4,0.1971,0.053025,2024-01-26 17:02:59+00:00
141,us-east-1f,c7a.2xlarge,4,0.2108,0.05645,2024-01-26 17:02:59+00:00
142,us-east-1c,m5n.12xlarge,8,1.3858,0.17759999999999998,2024-01-26 17:02:59+00:00
143,us-east-1c,r5n.12xlarge,8,2.0522,0.2609,2024-01-26 17:02:58+00:00
144,us-east-1a,r6gd.8xlarge,8,0.7211,0.0945125,2024-01-26 17:02:57+00:00
145,us-east-1a,m6i.24xlarge,15,1.996,0.13773333333333332,2024-01-26 17:02:57+00:00
146,us-east-1b,c7gn.8xlarge,8,0.8239,0.1073625,2024-01-26 17:02:57+00:00
147,us-east-1a,r5d.16xlarge,15,2.0323,0.14015333333333332,2024-01-26 17:02:56+00:00
148,us-east-1a,r7iz.16xlarge,15,2.3832,0.16354666666666665,2024-01-26 17:02:56+00:00
149,us-east-1f,r5ad.24xlarge,15,3.2296,0.21997333333333333,2024-01-26 17:02:55+00:00
150,us-east-1d,m7gd.8xlarge,8,0.7624,0.099675,2024-01-26 17:02:55+00:00
151,us-east-1f,c6gn.medium,2,0.021,0.013000000000000001,2024-01-26 17:02:54+00:00
152,us-east-1f,r6in.xlarge,4,0.1467,0.040425,2024-01-26 17:02:54+00:00
153,us-east-1b,m6in.24xlarge,15,2.9927,0.20418,2024-01-26 17:02:50+00:00
154,us-east-1b,m6in.xlarge,4,0.1576,0.043149999999999994,2024-01-26 17:02:49+00:00
