,Unnamed: 0,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp,Provider
884,884,US East,Standard_D64ads_v5 Spot,8,0.3296,0.0812,2022-11-01 00:00:00+00:00,Azure
616,616,US East,Standard_D32as_v5 Spot,8,0.1376,0.0572,2022-11-01 00:00:00+00:00,Azure
1178,1178,US East,E32-8ads v5 Spot,1,0.2096,0.2096,2022-11-01 00:00:00+00:00,Azure
190,190,US East,E2ads v5 Spot,1,0.0131,0.0131,2022-11-01 00:00:00+00:00,Azure
298,298,US East,E4ads v5 Spot,1,0.0262,0.0262,2022-11-01 00:00:00+00:00,Azure
897,897,US East,Standard_D2as_v5 Spot,2,0.0086,0.0143,2022-11-01 00:00:00+00:00,Azure
1407,1407,US East,E96-48ads v5 Spot,1,0.6288,0.6288,2022-11-01 00:00:00+00:00,Azure
1705,1705,US East,E20as v5 Spot,1,0.113,0.113,2022-11-01 00:00:00+00:00,Azure
811,811,US East,E64-16as v5 Spot,1,0.3616,0.3616,2022-11-01 00:00:00+00:00,Azure
747,747,US East,Standard_D2ads_v5 Spot,2,0.0103,0.01515,2022-11-01 00:00:00+00:00,Azure
1361,1361,US East,E32-16ads v5 Spot,1,0.2096,0.2096,2022-11-01 00:00:00+00:00,Azure
415,415,US East,E8-4ads v5 Spot,1,0.0524,0.0524,2022-11-01 00:00:00+00:00,Azure
948,948,US East,E32as v5 Spot,1,0.1808,0.1808,2022-11-01 00:00:00+00:00,Azure
1310,1310,US East,E96-24as v5 Spot,1,0.5424,0.5424,2022-11-01 00:00:00+00:00,Azure
406,406,US East,E96as v5 Spot,1,0.5424,0.5424,2022-11-01 00:00:00+00:00,Azure
1419,1419,US East,Standard_D96as_v5 Spot,8,0.4128,0.0916,2022-11-01 00:00:00+00:00,Azure
408,408,US East,Standard_D16as_v5 Spot,8,0.0688,0.0486,2022-11-01 00:00:00+00:00,Azure
462,462,US East,Standard_D16ads_v5 Spot,8,0.0824,0.0503,2022-11-01 00:00:00+00:00,Azure
1183,1183,US East,E8as v5 Spot,1,0.0452,0.0452,2022-11-01 00:00:00+00:00,Azure
1331,1331,US East,E16-8as v5 Spot,1,0.0904,0.0904,2022-11-01 00:00:00+00:00,Azure
277,277,US East,E96ads v5 Spot,1,0.6288,0.6288,2022-11-01 00:00:00+00:00,Azure
325,325,US East,E96ias v5 Spot,1,0.5966,0.5966,2022-11-01 00:00:00+00:00,Azure
183,183,US East,E8-2ads v5 Spot,1,0.0524,0.0524,2022-11-01 00:00:00+00:00,Azure
1199,1199,US East,Standard_D8ads_v5 Spot,4,0.0412,0.0303,2022-11-01 00:00:00+00:00,Azure
430,430,US East,E96iads v5 Spot,1,0.6917,0.6917,2022-11-01 00:00:00+00:00,Azure
666,666,US East,E48as v5 Spot,1,0.2712,0.2712,2022-11-01 00:00:00+00:00,Azure
322,322,US East,NV4as v4 Spot,1,0.0233,0.0233,2023-01-01 00:00:00+00:00,Azure
1469,1469,US East,NV8as v4 Spot,1,0.0466,0.0466,2023-01-01 00:00:00+00:00,Azure
1548,1548,US East,NV32as v4 Spot,1,0.1864,0.1864,2023-01-01 00:00:00+00:00,Azure
1403,1403,US East,NV16as v4 Spot,1,0.0932,0.0932,2023-01-01 00:00:00+00:00,Azure
1601,1601,US East,ND24rs Spot,1,0.9108,0.9108,2023-02-01 00:00:00+00:00,Azure
182,182,US East,ND6s Spot,1,0.207,0.207,2023-02-01 00:00:00+00:00,Azure
1572,1572,US East,ND24s Spot,1,0.828,0.828,2023-02-01 00:00:00+00:00,Azure
831,831,US East,ND12s Spot,1,0.414,0.414,2023-02-01 00:00:00+00:00,Azure
121,121,US East,NP10s Spot,1,0.165,0.165,2023-04-01 00:00:00+00:00,Azure
43,43,US East,NC6s v2 Spot,1,0.207,0.207,2023-04-01 00:00:00+00:00,Azure
293,293,US East,NP40s Spot,1,0.66,0.66,2023-04-01 00:00:00+00:00,Azure
705,705,US East,NC24s v2 Spot,1,0.828,0.828,2023-04-01 00:00:00+00:00,Azure
1227,1227,US East,NC24rs v2 Spot,1,0.9108,0.9108,2023-04-01 00:00:00+00:00,Azure
10,10,US East,NP20s Spot,1,0.33,0.33,2023-04-01 00:00:00+00:00,Azure
