,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
107,US East,D2ads_v6 Spot,1,0.04775,0.04775,2024-01-01T00:00:00Z
108,US East,F8ams v6 Spot,1,0.27775,0.27775,2024-01-01T00:00:00Z
109,US East,F64als v6 Spot,1,1.00475,1.00475,2024-01-01T00:00:00Z
110,US East,DS2 v2 Spot,1,0.0186,0.0186,2024-01-01T00:00:00Z
111,US East,Standard_EC2ads_v5 Spot,2,0.152978,0.086489,2024-01-01T00:00:00Z
112,US East,DS13-2 v2 Spot,1,0.171917,0.171917,2024-01-01T00:00:00Z
113,US East,Standard_M96ds_1_v3 Spot,8,2.4825,0.35031249999999997,2023-11-01T00:00:00Z
114,US East,D4s v4 Spot,1,0.0192,0.0192,2024-01-01T00:00:00Z
115,US East,D2ls v5 Spot,1,0.04425,0.04425,2023-09-01T00:00:00Z
116,US East,E4-2as v5 Spot,1,0.041,0.041,2023-11-01T00:00:00Z
117,US East,L8s v2 Spot,1,0.0992,0.0992,2024-01-01T00:00:00Z
118,US East,E32s v4 Spot,1,0.2016,0.2016,2024-01-01T00:00:00Z
119,US East,H16 Spot,1,0.1807,0.1807,2022-03-01T00:00:00Z
120,US East,NC64asT4 v3 Spot,1,0.4352,0.4352,2023-10-01T00:00:00Z
121,US East,NP10s Spot,1,0.165,0.165,2023-04-01T00:00:00Z
122,US East,E32 v4 Spot,1,0.2016,0.2016,2024-01-01T00:00:00Z
123,US East,Standard_L16s_v3 Spot,8,0.1392,0.0574,2023-11-01T00:00:00Z
124,US East,HX176-96rs Spot,1,4.184,4.184,2023-09-01T00:00:00Z
125,US East,L88is v2 Spot,1,0.6864,0.6864,2023-08-01T00:00:00Z
126,US East,D15i v2 Spot,1,0.236072,0.236072,2024-01-01T00:00:00Z
127,US East,M192is_v2 Spot,1,2.4444,2.4444,2023-08-01T00:00:00Z
128,US East,Standard_E48bds_v5 Spot,8,0.4008,0.0901,2024-01-01T00:00:00Z
129,US East,Standard_EC96ias_v5 Spot,8,7.121014,0.93012675,2024-01-01T00:00:00Z
130,US East,HB120-64rs_v3 Spot,1,0.36,0.36,2023-07-01T00:00:00Z
131,US East,Standard_E16pds_v5 Spot,4,0.0922,0.043050000000000005,2023-06-01T00:00:00Z
132,US East,D16lds v5 Spot,1,0.192,0.192,2023-09-01T00:00:00Z
133,US East,B16ps v2 Spot,1,0.1345,0.1345,2023-09-01T00:00:00Z
134,US East,ND40rs v2 Spot,1,4.258765,4.258765,2024-01-01T00:00:00Z
135,US East,E20 v3 Spot,1,0.237838,0.237838,2024-01-01T00:00:00Z
136,US East,Standard_D96d_v5 Spot,8,1.073544,0.17419300000000001,2024-01-01T00:00:00Z
137,US East,D2s v4 Spot,1,0.0096,0.0096,2024-01-01T00:00:00Z
138,US East,E2as v4 Spot,1,0.0218,0.0218,2023-09-01T00:00:00Z
139,US East,E64s v3 Spot,1,0.717114,0.717114,2024-01-01T00:00:00Z
140,US East,M16-4ms Spot,1,0.3073,0.3073,2023-08-01T00:00:00Z
141,US East,B16ls v2 Spot,1,0.14725,0.14725,2023-09-01T00:00:00Z
142,US East,B2ps v2 Spot,1,0.0191,0.0191,2023-09-01T00:00:00Z
143,US East,Standard_D48pls_v5 Spot,8,0.1632,0.0604,2023-06-01T00:00:00Z
144,US East,E64i v3 Spot,1,0.717114,0.717114,2024-01-01T00:00:00Z
145,US East,A1 v2 Spot,1,0.0043,0.0043,2024-01-01T00:00:00Z
146,US East,D4ads_v6 Spot,1,0.0495,0.0495,2024-01-01T00:00:00Z
147,US East,D96lds v5 Spot,1,2.256,2.256,2023-09-01T00:00:00Z
148,US East,E16-8ads v5 Spot,1,0.1784,0.1784,2023-11-01T00:00:00Z
149,US East,Standard_E20pds_v5 Spot,8,0.1152,0.054400000000000004,2023-06-01T00:00:00Z
150,US East,Standard_DC96as_v5 Spot,8,2.830982,0.39387275,2024-01-01T00:00:00Z
151,US East,F72s v2 Spot,1,0.639326,0.639326,2024-01-01T00:00:00Z
152,US East,Standard_D2ds_v5 Spot,2,0.0113,0.01565,2024-01-01T00:00:00Z
153,US East,Standard_D4ads_v5 Spot,2,0.0206,0.0203,2022-11-01T00:00:00Z
154,US East,E64-16s v5 Spot,1,0.4032,0.4032,2024-01-01T00:00:00Z
155,US East,Standard_DC8as_v5 Spot,4,0.488432,0.14210799999999998,2024-01-01T00:00:00Z
